results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/languageCode,results/resultEndTime,results/alternatives/0/words/1/endTime,results/alternatives/0/words/1/startTime,results/alternatives/0/words/1/word,results/alternatives/0/words/2/endTime,results/alternatives/0/words/2/startTime,results/alternatives/0/words/2/word,results/alternatives/0/words/3/endTime,results/alternatives/0/words/3/startTime,results/alternatives/0/words/3/word,results/alternatives/0/words/4/endTime,results/alternatives/0/words/4/startTime,results/alternatives/0/words/4/word,results/alternatives/0/words/5/endTime,results/alternatives/0/words/5/startTime,results/alternatives/0/words/5/word,results/alternatives/0/words/6/endTime,results/alternatives/0/words/6/startTime,results/alternatives/0/words/6/word,results/alternatives/0/words/7/endTime,results/alternatives/0/words/7/startTime,results/alternatives/0/words/7/word,results/alternatives/0/words/8/endTime,results/alternatives/0/words/8/startTime,results/alternatives/0/words/8/word,results/alternatives/0/words/9/endTime,results/alternatives/0/words/9/startTime,results/alternatives/0/words/9/word,results/alternatives/0/words/10/endTime,results/alternatives/0/words/10/startTime,results/alternatives/0/words/10/word,results/alternatives/0/words/11/endTime,results/alternatives/0/words/11/startTime,results/alternatives/0/words/11/word,results/alternatives/0/words/12/endTime,results/alternatives/0/words/12/startTime,results/alternatives/0/words/12/word,results/alternatives/0/words/13/endTime,results/alternatives/0/words/13/startTime,results/alternatives/0/words/13/word,results/alternatives/0/words/14/endTime,results/alternatives/0/words/14/startTime,results/alternatives/0/words/14/word,results/alternatives/0/words/15/endTime,results/alternatives/0/words/15/startTime,results/alternatives/0/words/15/word,results/alternatives/0/words/16/endTime,results/alternatives/0/words/16/startTime,results/alternatives/0/words/16/word,results/alternatives/0/words/17/endTime,results/alternatives/0/words/17/startTime,results/alternatives/0/words/17/word,results/alternatives/0/words/18/endTime,results/alternatives/0/words/18/startTime,results/alternatives/0/words/18/word,results/alternatives/0/words/19/endTime,results/alternatives/0/words/19/startTime,results/alternatives/0/words/19/word,results/alternatives/0/words/20/endTime,results/alternatives/0/words/20/startTime,results/alternatives/0/words/20/word
0.64844233,a,1.500s,0.900s,a,es-es,1.950s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, ábaco,4s,3.100s,ábaco,es-es,4.420s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8701908, bajo,6.500s,5.600s,bajo,es-es,6.870s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abalanzarse,9s,7.800s,abalanzarse,es-es,9.460s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66616756, abanico,16.400s,15.400s,abanico,es-es,16.750s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.94114089, abarcar,19.200s,18.300s,abarcar,es-es,19.620s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abastecer,21.900s,20.800s,abastecer,es-es,22.280s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abastecimiento,24.800s,23.400s,abastecimiento,es-es,25.120s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95622194, abatir,27s,26.100s,abatir,es-es,27.440s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, ABC,29.500s,28.600s,ABC,es-es,29.930s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abecedario,32.300s,31.200s,abecedario,es-es,32.640s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abeja,34.700s,33.700s,abeja,es-es,35.080s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abertura,37.500s,36.500s,abertura,es-es,37.810s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abierto abierta,40s,39s,abierto,es-es,41.960s,41.500s,40s,abierta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abismal,44.200s,43.100s,abismal,es-es,44.580s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abismo,47s,45.900s,abismo,es-es,47.360s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, ablandar,49.800s,48.900s,ablandar,es-es,50.220s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95694423, abnegación,52.800s,51.500s,abnegación,es-es,53.150s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abogado abogada,55.600s,54.600s,abogado,es-es,57.550s,57.300s,55.600s,abogada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abogar,60.200s,59.200s,abogar,es-es,60.610s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abolir,62.800s,61.900s,abolir,es-es,63.290s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, abono,65.200s,64.300s,abono,es-es,65.570s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.91418678, abordar,67.600s,66.600s,abordar,es-es,68s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96399021, aborigen,70.200s,69.200s,aborigen,es-es,70.640s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
